country_code,Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic private health expenditure (% of current health expenditure),Ease of doing business score (0 = lowest performance to 100 = best performance),"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP per capita (current US$),GDP per capita growth (annual %),Gini index,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Rural population (% of total population),Strength of legal rights index (0=weak to 12=strong),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
NLD,100.0,,8.552666420821524,10.097481406666667,6.649723053333333,34.11613591666667,76.10148333333333,71.1049575805664,62.332667032877595,52665.692980630236,1.4482385020955633,28.833333333333332,21146.9473848552,80.73,,,,4.02,1.28751134153514,126.1000839,4.1,,32.888888888888864,8.25266666666667,2.0,11.666666666666666,3.5300000508626304
NOR,100.0,,6.840360874830384,10.355546636666666,8.88324165,14.218792276666667,82.72345666666666,78.7484436035156,61.768999735514335,77902.43836974248,0.1965119127959838,27.666666666666668,33291.139960441,78.03666666666668,,,,3.7,1.8108026381124034,107.31140273333334,2.333333333333333,100.04546864827466,41.02564102564103,17.506666666666664,5.0,11.866666666666667,3.726666688919066
NPL,91.24000040690105,,0.49364159646858496,4.472918033333333,1.0909431733333335,63.15262858333333,62.00909333333333,,80.75433349609376,1189.4801428559765,5.112578753456063,,840.9028545263803,85.59999999999998,59.7244300842285,78.5913391113281,67.9084320068359,2.51,1.43080812762609,136.655125,29.733333333333334,120.447341918945,32.7272727272727,79.98466666666667,10.0,8.933333333333334,3.1289999485015834
NRU,99.97607421875,,5.589100474638894,9.398554803333333,8.00632604,4.80123552,,,,11224.7120805582,1.1653656574919666,,,,,,,,,92.97136482,29.8,116.877639770508,10.5263157894737,0.0,,,
NZL,100.0,,6.754700522600664,9.564233146666668,7.20443169,24.68275642333333,86.84460666666666,,67.71000162760417,42993.636086922335,0.8942973543352367,,24454.053925315966,80.96666666666665,,,,3.88,1.3610501432338633,127.07477126666667,4.933333333333334,,39.999999999999964,13.410666666666666,12.0,11.133333333333333,4.183333396911617
OED,99.93423419249324,,8.609269118105663,12.463563233779901,7.696929961753209,38.26577476286334,77.63274491228071,,57.195005947285004,39421.1387805928,1.3976885115738966,,22728.6454386018,72.43835287988476,,,,3.58105263157895,2.237068619348007,116.61439773838833,6.993588241518119,98.93834940592448,30.492829806722998,19.261405773311534,6.42105263157895,12.014420994340368,5.419732283124827
OMN,100.0,,15.406248214460932,4.082457703333334,3.5461391633333332,13.150789896666666,69.60399,,69.85533396402997,18116.257825373366,-3.39507796605602,,6513.571027997474,71.19333333333333,92.6939926147461,96.9894180297852,95.6515274047852,3.2,8.939446920529313,138.81054646666666,11.1,100.72745259602867,1.9425444596443233,14.858333333333334,1.0,4.833333333333334,1.8320000171661333
OSS,77.84905750760517,,6.108764260352893,4.6684573380011605,3.0548198593108267,32.04269888630013,60.82992615384614,,56.676225283425396,13989.172676159067,0.21149482821305798,,5219.18414702117,69.27749116290641,82.41543579101561,87.68822733561198,85.2661056518555,2.70105263157895,,116.57209309381301,48.70398056894617,85.36749521891277,20.32981646147577,37.562449647834136,4.589743589743587,13.667510948249799,9.833722608201862
PAK,73.6794967651367,,0.880839442144071,3.320666393333333,1.1020407666666665,61.83864466,59.12203333333334,10.695379892985045,49.066666920979834,1547.2236261823334,1.6266167257038697,29.6,1283.4660005750331,54.47666666666667,46.12615966796877,69.28383382161456,57.669429779052734,2.42,4.115588026915137,75.10361130333335,68.03333333333335,72.30740102132164,20.2346041055718,63.17333333333334,2.0,8.9,3.7213333447774235
PAN,95.52039337158203,,2.8971377685265267,7.482724666666667,4.907608823333333,34.33712387333333,66.66295666666667,54.3121910095215,62.11500040690106,15697.836326876599,1.5100586333259336,49.6,7634.398433391147,71.89666666666666,95.19982655843098,96.08357747395833,95.62798817952478,3.28,0.0,137.12694246666663,15.0,,20.187793427230066,32.05766666666667,8.0,2.9,4.428333202997844
PER,95.43423970540368,,1.7325646129700398,5.209238373333332,3.2520091533333333,37.37648137666667,68.55491666666666,58.0391807556152,74.65866851806639,7001.550771611393,1.1337423321241686,41.86666666666667,4330.4010862265795,80.94333333333334,91.7031097412109,97.1213684082031,94.4082717895508,2.69,1.18684424134544,125.6322227,13.466666666666669,97.83713277180986,29.230769230769237,21.965,7.0,2.7999999999999994,3.416666746139527
PHL,95.24614206949873,,1.3297793219371665,4.035784006666667,1.6154925799999997,59.602166489999995,62.177533333333336,30.4557399749756,57.93933359781903,3407.597320636293,4.7426872076231,42.3,2574.389909062407,62.123333333333335,96.8524322509766,95.7057266235352,96.2781677246094,2.9,0.886703638993871,145.24226393333333,27.366666666666664,108.98247019449866,28.4577024753665,52.93166666666667,1.0,2.2,2.2733333110809304
PLW,100.0,,13.911379206096333,13.71662076,6.670396966666666,31.95588684333333,53.68738666666667,,,15453.411354751666,-1.8165203129092837,,,,,,,,,133.2741004,17.599999999999998,,12.5,19.71,10.0,,
PNG,58.35111236572266,,0.8686129469262373,2.2890084600000002,1.4138020266666667,9.861034389999999,59.63923,,46.55033365885413,2813.9947293403366,0.8962819905767634,,,48.47666666666667,,,,2.17,0.36692642260110236,51.10400911333334,45.79999999999999,,0.0,86.777,9.0,2.966666666666667,2.48733321825663
POL,100.0,2.8,7.92029979994462,6.40709734,4.56740856,28.658321383333334,76.56520333333333,,54.29499944051107,15644.2961605871,4.964997695598797,30.2,8603.44884043422,70.70333333333333,,,,3.54,2.00035494234323,127.59471066666667,4.433333333333334,94.79293060302734,28.4782608695652,39.955999999999996,7.0,11.766666666666666,3.4699999491373705
PRE,47.421443578421794,,0.5137930750589157,3.93748646957729,1.14264631602572,55.185252265117136,47.6744308108108,,59.90869427023549,1462.72572007845,0.19224989785800037,,1017.9676573627399,65.1027171206966,54.741639455159465,70.1535313924154,62.3732770284017,2.38818181818182,1.4175150359263666,75.9443261299623,79.89158512466963,68.4873860677083,22.022758166582168,58.40673043858643,5.1981981981982,5.588601640401209,6.17287592302144
PRI,100.0,,,,,,70.05266333333333,,36.99566650390623,32435.266246392068,0.9202169536391901,,18982.655920112302,50.29,,,,,,113.15485573333332,,,,6.42333333333334,12.0,,8.600000063578287
PRK,49.191651662190736,,2.11485370447437,,,,,,80.2906672159831,,,,,86.31,,,,,,16.57045633,17.599999999999998,,17.176128093158667,37.94433333333333,,9.366666666666667,2.6026666959126765
PRT,100.0,0.3,4.4976407937905,9.49185594,5.7891101833333325,38.93912252,76.45858666666668,39.4803721110026,55.28066635131836,23408.063033561033,2.77696930544386,33.03333333333333,13952.6465964839,75.64333333333333,95.0725173950195,97.3536224365234,96.1375885009766,3.64,1.8225030847799502,116.1865224,3.466666666666667,99.94019063313783,37.391304347826065,34.42033333333333,2.0,11.566666666666668,6.636666615804033
PRY,99.66666412353516,,1.18283074908143,7.021333376666665,3.2055702999999998,54.33240763333333,58.85306,41.28567504882813,67.5460027058919,5516.644464276127,-0.4748366055129567,45.800000000000004,3773.624099651244,75.95,92.94746398925783,94.02927398681636,93.48262023925781,2.78,0.964605449550005,109.10483713333333,19.733333333333334,,15.0,38.219,1.0,6.0,6.4666666984558105
PSE,100.0,7.9,,,,,59.87451333333333,42.6016883850098,32.71466573079423,3625.3491618142602,-1.2026805075519966,,3000.0365811551897,46.053333333333335,95.85722096761071,98.75555419921874,97.32504272460933,,,87.54217460333332,17.166666666666668,96.4991658528646,,23.652,8.0,,25.646666844685868
PSS,85.53486961101468,,1.3805852485459067,5.151815047578154,3.2014479255225434,17.11207721991133,55.6397225925926,,63.4462673144385,4294.577412194602,0.024272266425013306,,,67.15911755928317,89.1703109741211,93.2814178466797,91.2938079833984,2.46,,84.83229803735763,24.2906163305426,97.01407114664714,7.781765593319687,61.0937018779562,8.77777777777778,13.6922719889006,2.8672187495785497
PST,99.9970122946789,,9.639236352759243,12.889782021642466,7.9481742639278,38.366839108008804,76.45540268518523,,57.54437775174083,45623.251123656635,1.578652078421067,,26110.266018119903,74.18883075746739,,,,3.58171428571429,2.2757598736740996,120.07363023535532,4.844411155012277,98.91026814778651,31.457588851597333,18.589160624358332,5.972222222222219,14.486630397194167,5.065046613707427
PYF,100.0,,,,,,,,49.3043327331543,21706.434685794535,1.9915354206329867,,,60.306666666666665,,,,,,112.2412592,,,,38.124,,,12.279999732971168
QAT,100.0,,32.005490275005634,2.81546919,2.0383517733333334,27.628108339999997,68.01274333333333,,88.17433420817058,63361.29890095423,-0.9581081520964654,,,87.61333333333334,,,,3.47,,139.5046334,6.266666666666666,95.2758255004883,9.75609756097561,0.8296666666666637,1.0,5.8,0.103333334128062
